   1  6.70  1.29125 45.2292     
   2  6.29  1.26583 -0.5031     
   3  4.61  1.33375 -5.7075     
   4  5.51  1.42500 13.3961     
   5  5.96  1.56667 58.4367     
   6  5.70  1.57917 -49.0750     
   7  5.59  1.61042 64.1961     
   8  6.13  1.65333 29.0214     
   9  6.18  1.70875 -23.1075     
  10  6.19  1.82583 -17.3864     
  11  6.43  1.93375 -2.5489     
  12  5.94  1.94500 -22.5089     
  13  5.68  2.01458 -33.5294     
  14  6.07  2.05042 -2.4478     
  15  2.06  2.09708 29.0906     
  16  5.99  2.07250 -8.8239     
  17  6.19  2.17083 36.6267     
  18  6.06  2.13917 -17.5775     
  19  6.23  2.21750 25.4628     
  20  6.01  2.33417 79.7147     
  21  2.27  2.29458 59.1497     
  22  5.53  2.26000 18.2119     
  23  6.33  2.26000 -54.0019     
  24  5.42  2.33750 -27.9878     
  25  3.88  2.35292 -45.7475     
  26  5.51  2.50958 11.1456     
  27  5.03  2.58042 46.0722     
  28  6.74  2.62375 57.1656     
  29  5.84  2.57833 -5.2486     
  30  5.28  2.50875 -82.2239     
  31  5.85  2.67833 -12.5800     
  32  6.64  2.66083 -73.2244     
  33  4.89  2.81625 -15.4681     
  34  5.41  2.89333 -27.7997     
  35  5.25  2.93333 -35.1331     
  36  6.16  2.99625 48.1525     
  37  5.25  3.04167 -17.9383     
  38  6.73  3.21000 37.6933     
  39  2.83  3.30917 15.1836     
  40  6.30  3.35000 26.9872     
  41  5.72  3.37833 41.0353     
  42  5.94  3.42542 -26.0219     
  43  6.31  3.43417 -26.2847     
  44  6.25  3.50958 33.2061     
  45  4.80  3.65083 20.2067     
  46  5.12  3.61500 -7.7806     
  47  5.77  3.33083 -84.9942     
  48  4.44  3.66000 -18.9328     
  49  6.24  3.73375 22.2842     
  50  5.79  3.74500  8.8208     
  51  5.75  3.72708 -9.5697     
  52  6.45  3.77917 31.5358     
  53  6.35  3.79417 27.2831     
  54  6.17  3.74250 -34.9044     
  55  6.35  4.05833 76.9508     
  56  6.15  4.09000 43.5947     
  57  5.67  4.03708 -31.4464     
  58  6.49  3.98000 -75.9114     
  59  6.11  4.14208  8.2400     
  60  5.74  4.23792 61.5333     
  61  6.47  4.17708 -20.2106     
  62  5.89  4.28792 47.9475     
  63  4.61  4.27292 38.6817     
  64  6.77  4.20417 -78.7806     
  65  6.14  4.42917 51.4331     
  66  6.45  4.38583 -19.0511     
  67  6.17  4.44875  1.6889     
  68  4.52  4.58208 36.7853     
  69  6.05  4.57167 11.2058     
  70  6.11  4.67542 43.7911     
  71  5.87  4.65958 31.5172     
  72  6.46  4.67417 -8.0528     
  73  6.33  4.67750 -43.2353     
  74  3.56  4.85708 -8.8239     
  75  6.33  4.92333 40.7297     
  76  6.52  5.02167 48.8653     
  77  4.23  5.01792 -64.8747     
  78  5.90  5.10167 30.9358     
  79  5.79  5.18958 32.9114     
  80  5.37  5.14958  8.1903     
  81  6.56  5.22708 10.9769     
  82  5.18  5.28042 37.9686     
  83  5.51  5.16250 -69.6250     
  84  5.18  5.38000 -28.9817     
  85  5.12  5.44292 -20.0578     
  86  6.23  5.60625 13.4825     
  87  5.97  5.36917 -77.4269     
  88  6.39  5.71583 -12.2094     
